storm,threshold_km,excess_log1p,density,mean_excess,n
Harvey (2017),10,2.6132264529058116,0.15788702538776467,3.3287329351356507,8719
Harvey (2017),10,2.641282565130261,0.15859358693994516,3.3287329351356507,8719
Harvey (2017),10,2.669338677354709,0.15941087024399445,3.3287329351356507,8719
Harvey (2017),10,2.6973947895791586,0.16033601765472197,3.3287329351356507,8719
Harvey (2017),10,2.725450901803608,0.16136476472697867,3.3287329351356507,8719
Harvey (2017),10,2.753507014028056,0.16249150267480872,3.3287329351356507,8719
Harvey (2017),10,2.7815631262525056,0.16370939083152578,3.3287329351356507,8719
Harvey (2017),10,2.8096192384769534,0.16501051797854752,3.3287329351356507,8719
Harvey (2017),10,2.837675350701403,0.16638610800749973,3.3287329351356507,8719
Harvey (2017),10,2.8657314629258526,0.16782676201754534,3.3287329351356507,8719
Harvey (2017),10,2.8937875751503004,0.16932272591285008,3.3287329351356507,8719
Harvey (2017),10,2.92184368737475,0.1708641701217318,3.3287329351356507,8719
Harvey (2017),10,2.949899799599198,0.1724414664369621,3.3287329351356507,8719
Harvey (2017),10,2.9779559118236474,0.17404544634112476,3.3287329351356507,8719
Harvey (2017),10,3.006012024048097,0.1756676256204564,3.3287329351356507,8719
Harvey (2017),10,3.034068136272545,0.17730038159002115,3.3287329351356507,8719
Harvey (2017),10,3.0621242484969944,0.17893707177341833,3.3287329351356507,8719
Harvey (2017),10,3.090180360721442,0.18057208624731436,3.3287329351356507,8719
Harvey (2017),10,3.118236472945892,0.18220082985829467,3.3287329351356507,8719
Harvey (2017),10,3.1462925851703414,0.18381963488613243,3.3287329351356507,8719
Harvey (2017),10,3.174348697394789,0.18542560917787393,3.3287329351356507,8719
Harvey (2017),10,3.202404809619239,0.1870164290211761,3.3287329351356507,8719
Harvey (2017),10,3.2304609218436866,0.18859008978632327,3.3287329351356507,8719
Harvey (2017),10,3.258517034068136,0.19014463039845897,3.3287329351356507,8719
Harvey (2017),10,3.286573146292586,0.19167784980143923,3.3287329351356507,8719
Harvey (2017),10,3.3146292585170336,0.19318703459309805,3.3287329351356507,8719
Harvey (2017),10,3.342685370741483,0.19466871685997847,3.3287329351356507,8719
Harvey (2017),10,3.370741482965933,0.1961184798944618,3.3287329351356507,8719
Harvey (2017),10,3.3987975951903806,0.19753082698380925,3.3287329351356507,8719
Harvey (2017),10,3.42685370741483,0.19889912493147838,3.3287329351356507,8719
