home_zip,median_income,ec,ec_pred_from_income,ec_residual
01001,72444,0.88156998,0.8904770641248576,-0.008907084124857634
01002,65013,1.18348,0.8498985580865834,0.33358144191341665
01005,103477,1.15543,1.0599391523883164,0.09549084761168358
01007,101076,1.1924,1.0468279973623582,0.1455720026376417
01010,84830,0.73856002,0.9581133682279479,-0.21955334822794792
01013,52721,0.69744003,0.7827755603443596,-0.08533553034435959
01020,61963,0.72701001,0.8332434048882608,-0.10623339488826078
01022,50134,0.79394001,0.7686487140086019,0.02529129599139812
01027,64330,1.1387,0.8461688959113525,0.2925311040886476
01028,95284,0.94024998,1.015199588403445,-0.074949608403445
01030,86136,0.98904997,0.9652450502204101,0.023804919779589873
01031,49071,1.15798,0.762843983566039,0.395136016433961
01033,106821,1.19631,1.0781997531408383,0.11811024685916172
01035,101458,1.13185,1.0489139870416235,0.08293601295837649
01036,99400,1.06871,1.0376758541622306,0.031034145837769422
01038,90893,1.1593601,0.9912216285038269,0.16813847149617311
01040,45045,0.54841,0.7408591813442529,-0.19244918134425293
01050,70800,1.21948,0.8814996635156633,0.33798033648433656
01056,72563,0.92281997,0.8911268881348906,0.03169308186510944
01057,72567,1.0259,0.8911487309587572,0.1347512690412428
01060,70467,1.11224,0.8796812484287646,0.2325587515712353
01062,78526,1.04111,0.9236890778141031,0.11742092218589684
01069,64300,0.98422998,0.8460050747323526,0.1382249052676473
01073,110200,1.2580301,1.096651478602193,0.161378621397807
01075,82278,1.10874,0.9441776466010234,0.16456235339897662
01077,100337,1.14063,1.0427925356529941,0.09783746434700591
01080,80087,0.87129003,0.9322132398280645,-0.06092320982806443
01082,60281,1.05092,0.8240584974523333,0.2268615025476668
01083,81078,1.0980999,0.9376247994410276,0.1604751005589724
01085,74341,0.88858998,0.9008360233436177,-0.012246043343617674
01089,60023,0.80242002,0.8226496353129342,-0.020229615312934213
01095,124327,0.97569001,1.173794871793244,-0.19810486179324405
01096,89643,1.2317801,0.984395746045498,0.24738435395450198
01104,41402,0.52688003,0.7209658295076989,-0.1940857995076989
01105,23331,0.4285,0.6222854119841283,-0.19378541198412835
01106,129339,1.0292701,1.2011639300981598,-0.17189383009815984
01107,31698,0.52256,0.6679751388071993,-0.14541513880719925
01108,41153,0.53073001,0.7196061137219998,-0.1888761037219998
01109,37887,0.50476003,0.7017714480348778,-0.19701141803487776
01118,70295,0.78123999,0.8787420070024985,-0.0975020170024985
01119,50729,0.68185002,0.7718978340587666,-0.0900478140587666
01128,79015,0.89339,0.9263593630318014,-0.032969363031801424
01129,75944,0.78416002,0.9095895350081789,-0.1254295150081789
01151,47234,0.58516997,0.7528126667052786,-0.16764269670527854
01201,60060,0.85096002,0.8228516814337008,0.02810833856629924
01220,49691,0.85908997,0.7662296212653701,0.0928603487346299
01223,64750,1.11306,0.8484623924173511,0.26459760758264883
01225,69069,0.99021,0.8720471814873694,0.11816281851263066
