locations,density
1.0,0.0031907238991707655
3.0,0.01177913820965592
5.0,0.01530014036826026
7.0,0.01796713731318636
9.0,0.02031801078122604
11.0,0.022029559904219304
13.0,0.022652370336294043
15.0,0.023567712941009945
17.0,0.02354176250634016
19.0,0.023041626856340754
21.0,0.022050792078040036
23.0,0.021219198603394787
25.0,0.020165846868844144
27.0,0.018909609917784304
29.0,0.01782558948771483
31.0,0.01670618210127747
33.0,0.0154794342805242
35.0,0.0144626490675537
37.0,0.013242978638074006
39.0,0.012538778206353138
41.0,0.011399318211307312
43.0,0.010759993866260897
45.0,0.009905988652582657
47.0,0.009264305177111716
49.0,0.008481073876169243
51.0,0.007864161270155821
53.0,0.007297969968269696
55.0,0.00679547518784576
57.0,0.006216308668624745
59.0,0.005831770409427085
61.0,0.005490876063083148
63.0,0.005006074760843153
65.0,0.004666359979711479
67.0,0.004429267372046663
69.0,0.004098989112613091
71.0,0.0036472156363164536
73.0,0.003568184767094849
75.0,0.0031966217252320794
77.0,0.0029795817261757318
79.0,0.002703563466506246
81.0,0.0025679134670960283
83.0,0.0024393408589593875
85.0,0.002339077815917053
87.0,0.0021114217299503402
89.0,0.0019970039043608525
91.0,0.001887304339620416
93.0,0.001783502600941293
95.0,0.0016384160798329735
97.0,0.00150866390648407
99.0,0.0021350130341955954
