degree,density
0.5,0.0
1.5,0.07827031476886841
2.5,0.0960336607173483
3.5,0.10395947908210516
4.5,0.10245709516241525
5.5,0.09690719292027304
6.5,0.08638821874892809
7.5,0.07615051279999085
8.5,0.06528395513428843
9.5,0.05448142600702027
10.5,0.04524530933787631
11.5,0.037040509484227255
12.5,0.029508009284138072
13.5,0.024307977269868854
14.5,0.019434948148317536
15.5,0.01541258389453585
16.5,0.012599901670458833
17.5,0.009926710190827913
18.5,0.008010427504830725
19.5,0.00637083957421022
20.5,0.005136003475834944
21.5,0.004235030470724094
22.5,0.003219720789837756
23.5,0.0026503241444758236
24.5,0.0022089845759824377
25.5,0.0017196236036633472
26.5,0.0014292084471936063
27.5,0.0012348360983752758
28.5,0.0010564708841655137
29.5,0.0008460914007386149
30.5,0.0006334251837962063
31.5,0.0006494323184047747
32.5,0.0005350956426292862
33.5,0.0004413395684933856
34.5,0.00039331816466768046
35.5,0.0003292896262334069
36.5,0.00033386309326442645
37.5,0.00026983455483015284
38.5,0.0002149529504579184
39.5,0.0002058060163958793
40.5,0.00020351928288036953
41.5,0.00016921828014772298
42.5,0.00018293868124078162
43.5,0.00017607848069425228
44.5,0.00016693154663221323
45.5,0.00013491727741507642
46.5,0.0001143366757754885
47.5,0.00011891014280650805
48.5,9.146934062039081e-05
49.5,0.00010061627468242988
50.5,9.832954116692011e-05
51.5,0.0001074764752289592
52.5,0.0001074764752289592
53.5,8.918260710488103e-05
54.5,9.832954116692011e-05
55.5,9.832954116692011e-05
56.5,9.375607413590057e-05
57.5,8.232240655835172e-05
58.5,8.918260710488103e-05
59.5,8.918260710488103e-05
60.5,9.146934062039081e-05
61.5,0.0001143366757754885
62.5,6.402853843427356e-05
63.5,7.317547249631264e-05
64.5,7.546220601182242e-05
65.5,5.716833788774425e-05
66.5,6.17418049187638e-05
67.5,7.088873898080288e-05
68.5,6.17418049187638e-05
69.5,4.802140382570517e-05
70.5,6.86020054652931e-05
71.5,5.259487085672471e-05
72.5,5.259487085672471e-05
73.5,6.86020054652931e-05
74.5,5.488160437223448e-05
75.5,4.116120327917586e-05
76.5,5.945507140325402e-05
77.5,3.430100273264655e-05
78.5,2.972753570162701e-05
79.5,3.430100273264655e-05
80.5,6.402853843427356e-05
81.5,5.259487085672471e-05
82.5,5.716833788774425e-05
83.5,5.259487085672471e-05
84.5,4.5734670310195404e-05
85.5,4.802140382570517e-05
86.5,2.515406867060747e-05
87.5,4.802140382570517e-05
88.5,4.116120327917586e-05
89.5,4.116120327917586e-05
90.5,3.201426921713678e-05
91.5,3.887446976366609e-05
92.5,2.972753570162701e-05
93.5,3.201426921713678e-05
94.5,3.201426921713678e-05
95.5,3.201426921713678e-05
96.5,4.344793679468563e-05
97.5,2.2867335155097702e-05
98.5,2.972753570162701e-05
99.5,7.317547249631264e-05
