zip,expansion_factor
94041,4.181871005229517
93635,15.896645865834634
95076,30.199582027168233
94015,13.326555760936538
95242,10.032504780114722
95355,20.084382443007826
93906,22.540932642487046
95632,14.585150812064965
94587,20.676552106430155
94538,16.271141901576684
93620,6.516862170087976
94112,20.001409112259278
95380,15.892737430167598
93955,17.830482115085537
94533,29.03454894433781
95020,29.907259953161592
95624,20.621706398996235
95476,19.466666666666665
94539,18.514025245441797
95630,22.813574392412566
93905,36.85661989017694
95307,20.90467289719626
95358,17.08247950819672
95376,26.637810945273632
94558,27.834943639291467
95337,19.741361256544504
95209,21.202392344497607
94565,38.50941883767535
95035,26.26549271926854
95382,19.483231707317074
93960,18.56943475226797
95758,28.17195767195767
95212,16.307558139534883
95334,12.932973805855163
95367,16.19176319176319
94118,14.83649373881932
95377,17.12381454162276
94536,27.01353328456474
95351,25.800618238021638
95616,20.935691318327976
95023,34.84182660489742
95448,10.076080691642652
95240,22.97177798682973
95361,21.51805728518057
94501,30.043764705882353
95206,34.151466666666664
93901,16.10017371163868
95747,31.74684159378037
94588,15.714409346603203
94544,30.173267326732674
95301,27.529871977240397
94954,20.09100418410042
94577,23.25338491295938
94928,21.23399133365431
95304,8.711204313960456
95219,17.011467889908257
95014,27.759004001778568
95687,33.3671568627451
94019,18.87918215613383
95828,34.44
94531,24.394428969359332
95691,22.766366366366366
94553,28.142129105322763
94110,29.783534136546184
94804,21.755765199161427
94903,21.04201680672269
94513,36.326989619377166
95823,39.497757847533634
94545,20.340838023764853
94080,34.77211934156379
95129,17.989159891598916
94591,32.4920728126835
95667,22.901813633520952
94010,23.85817978782803
95124,24.6840328027014
95407,27.80301047120419
95205,24.519083969465647
94582,30.971281296023562
95776,16.926140477914554
95757,30.31299572910311
95121,23.903387703889585
95360,12.76101860920666
94404,20.873868778280542
95660,23.30479233226837
94124,20.41743648960739
94583,18.27277459656429
94305,14.404761904761905
95620,21.19689621726479
94506,19.163884673748104
94568,30.64189189189189
95610,25.18893756845564
94128,0.14018691588785046
95356,21.938543754175015
95037,34.9
94541,32.034917555771095
95642,6.557156580211335
95051,31.417837837837837
95336,34.85505124450952
95608,34.13907284768212
94116,24.9858934169279
94086,25.269857433808554
95350,34.080872913992295
95388,14.78920041536864
95324,8.80879120879121
94606,25.484364604125084
95695,42.47089397089397
95252,17.723476297968396
95210,30.89181066867017
95006,10.140504939626783
94550,33.734134936539746
95835,39.199413489736074
94551,32.915827338129496
95822,33.62240356083086
94122,35.20169971671388
95843,38.634408602150536
95204,18.812045003309066
94601,36.62394957983193
95688,28.680277349768875
95330,20.703170028818445
95827,14.480519480519481
94560,29.25158027812895
95131,20.148674854557207
95354,16.982155113246396
94589,21.627644569816642
94403,26.182033096926713
95401,27.22486033519553
94063,21.483810709838107
95326,11.985454545454546
94509,46.448993754337266
94066,25.638525564803803
95404,27.7599451303155
95207,34.70167224080267
94303,40.9190800681431
93940,20.552314521242867
95148,33.80899653979239
95368,19.282868525896415
95403,30.17631403858949
95112,31.802083333333332
95123,39.73151981076286
94037,2.4833948339483394
94803,20.634858044164037
94549,25.93088363954506
95135,21.58108108108108
95120,32.47979363714531
94901,31.259749816041207
95824,23.98733174980206
95826,22.74435196195006
94555,33.851851851851855
95136,34.896627565982406
95834,21.798455598455597
94014,32.027813712807244
94503,21.152083333333334
95122,44.86024844720497
95694,16.10232558139535
94590,39.220356768100736
95670,40.63048327137547
94945,15.191540303272147
94547,21.904062229904927
95386,14.268194070080863
95125,35.40912095175149
93933,28.393870601589104
95682,25.54322033898305
95409,25.24214417744917
94534,26.349554489376285
94002,22.706176961602672
95050,24.8125786163522
95215,24.419839679358716
94526,24.650757575757577
93926,18.304347826086957
94025,31.09593023255814
95838,35.240107913669064
94578,31.779411764705884
95661,26.259010896898577
94044,31.302083333333332
94061,32.11021069692058
94040,24.857836338418863
95119,9.732342007434944
94952,31.35528596187175
95678,27.613316261203586
94607,23.567324955116696
95742,12.366182572614107
94518,27.255992329817833
94103,19.803583735354927
94520,32.629441624365484
95709,8.741776315789474
95316,9.150760719225449
95320,18.840287769784172
95111,56.007181328545784
95138,24.231038506417736
95132,40.82341463414634
94556,17.12133891213389
94704,25.338541666666668
95116,49.89487632508834
94115,28.0032
95054,17.65938864628821
93923,16.368622448979593
94960,16.622621564482028
95618,30.493728620296466
94801,31.012422360248447
