expansion_factor,density
0.0,0.004522299101078847
0.2333159669802085,0.004689413423447706
0.466631933960417,0.00486046537076765
0.6999479009406255,0.005035456879867691
0.933263867920834,0.005214386306049725
1.1665798349010426,0.0053972483560712475
1.399895801881251,0.005584034023715521
1.6332117688614596,0.005774730527915423
1.866527735841668,0.005969321253399983
2.0998437028218766,0.006167785693839046
2.333159669802085,0.006370099397469172
2.5664756367822936,0.006576233915194518
2.799791603762502,0.006786156751169164
3.0331075707427106,0.00699983131588209
3.266423537722919,0.007217216881782947
3.4997395047031277,0.007438268541505571
3.733055471683336,0.0076629371687664
3.9663714386635447,0.007891169382036994
4.199687405643753,0.008122907511113057
4.433003372623961,0.008358089566725858
4.66631933960417,0.008596649213367379
4.899635306584379,0.008838515745524644
5.132951273564587,0.009083614067544392
5.366267240544795,0.00933186467737334
5.599583207525004,0.009583183654443394
5.832899174505213,0.009837482651993912
6.066215141485421,0.010094668894144359
6.299531108465629,0.010354645178050214
6.532847075445838,0.010617309881492407
6.766163042426047,0.0108825569762648
6.999479009406255,0.011150276047736775
7.232794976386463,0.011420352320975746
7.466110943366672,0.011692666693819952
7.699426910346881,0.011967095777293107
7.932742877327089,0.012243511943749329
8.166058844307297,0.012521783383129793
8.399374811287506,0.012801774167701249
8.632690778267715,0.013083344325629914
8.866006745247923,0.013366349923724043
9.099322712228131,0.013650643159652214
9.33263867920834,0.013936072463914907
9.56595464618855,0.014222482611811763
9.799270613168758,0.014509714845607214
10.032586580148966,0.014797607007053888
10.265902547129174,0.015085993680385207
10.499218514109383,0.015374706345836101
10.73253448108959,0.01566357354369606
10.9658504480698,0.015952421048839913
11.199166415050009,0.01624107205561937
11.432482382030217,0.016529347372935863
11.665798349010426,0.016817065629248
11.899114315990634,0.01710404348720044
12.132430282970843,0.01739009586749313
12.365746249951052,0.01767503618154081
12.599062216931259,0.01795867657240552
12.832378183911468,0.018240828163417384
13.065694150891677,0.018521301313833692
13.299010117871886,0.018799905880823316
13.532326084852095,0.019076451487002797
13.765642051832302,0.01935074779269416
13.99895801881251,0.019622604772021292
14.23227398579272,0.019891832991914063
14.465589952772927,0.020158243893045803
14.698905919753136,0.020421650071693814
14.932221886733345,0.02068186556148086
15.165537853713554,0.02093870611393127
15.398853820693763,0.021191989476759134
15.63216978767397,0.021441535668795527
15.865485754654179,0.02168716725045994
16.098801721634388,0.021928709588687176
16.332117688614595,0.022165991115234807
16.565433655594806,0.02239884357731801
16.798749622575013,0.022627102279549803
17.03206558955522,0.022850606316201647
17.26538155653543,0.023069198792846735
17.498697523515638,0.023282727036501756
17.732013490495845,0.0234910427934443
17.965329457476056,0.023694002413951434
18.198645424456263,0.023891467023280828
18.431961391436474,0.024083302678295542
18.66527735841668,0.024269380509222515
18.898593325396888,0.024449576846124636
19.1319092923771,0.024623773329763645
19.365225259357306,0.02479185700663071
19.598541226337517,0.02495372040802335
19.831857193317724,0.025109261613152325
20.06517316029793,0.025258384296368532
20.298489127278142,0.025400997758703983
20.53180509425835,0.025537016944028282
20.765121061238556,0.025666362440224445
20.998437028218767,0.025788960465890548
21.231752995198974,0.025904742843170576
21.46506896217918,0.0260136469574131
21.698384929159392,0.02611561570444463
21.9317008961396,0.026210597426328485
22.16501686311981,0.02629854583655565
22.398332830100017,0.02637941993568447
22.631648797080224,0.026453183918506675
22.864964764060435,0.026519807073869497
23.098280731040642,0.02657926367832898
23.331596698020853,0.02663153288484008
23.56491266500106,0.026676598607716217
23.798228631981267,0.026714449405101693
24.031544598961478,0.026745078360204823
24.264860565941685,0.02676848296252943
24.498176532921892,0.026784664990325453
24.731492499902103,0.02679363039544754
24.96480846688231,0.026795389191771966
25.198124433862517,0.026789955348268665
25.431440400842728,0.026777346687766868
25.664756367822935,0.026757584792379416
25.898072334803146,0.026730694916472616
26.131388301783353,0.02669670590797903
26.36470426876356,0.026655650138753276
26.59802023574377,0.026607563444569823
26.83133620272398,0.026552485075247323
27.06465216970419,0.02649045765527324
27.297968136684396,0.026421527155179265
27.531284103664603,0.026345742873795156
27.764600070644814,0.026263157431384066
27.99791603762502,0.026173826773533217
28.23123200460523,0.026077810185547622
28.46454797158544,0.025975170316967607
28.697863938565646,0.025865973215705516
28.931179905545854,0.02575028837117677
29.164495872526064,0.025628188765681893
29.39781183950627,0.025499750933184986
29.631127806486482,0.025365055024528602
29.86444377346669,0.025224184878025652
30.097759740446897,0.02507722809428077
30.331075707427107,0.02492427611401143
30.564391674407315,0.024765424297569102
30.797707641387525,0.02460077200480075
31.031023608367732,0.0244304226738421
31.26433957534794,0.024254483897398163
31.49765554232815,0.02407306749504148
31.730971509308358,0.0238862895800478
