threshold_m,metric,x,density
1,clust,0.0,3.3267766087881095e-119
1,clust,0.0014028056112224449,1.1105903405831194e-112
1,clust,0.0028056112224448897,2.4205672150698914e-106
1,clust,0.004208416833667334,3.444486309142309e-100
1,clust,0.0056112224448897794,3.200282141729177e-94
1,clust,0.0070140280561122245,1.9414334807069429e-88
1,clust,0.008416833667334669,7.690292362266131e-83
1,clust,0.009819639278557115,1.98914664433049e-77
1,clust,0.011222444889779559,3.359804210149564e-72
1,clust,0.012625250501002003,3.7060071022290306e-67
1,clust,0.014028056112224449,2.6697342686227025e-62
1,clust,0.015430861723446893,1.2561065620131267e-57
1,clust,0.016833667334669337,3.8602170574820604e-53
1,clust,0.01823647294589178,7.74920447608363e-49
1,clust,0.01963927855711423,1.0162475201227777e-44
1,clust,0.021042084168336674,8.707217331394529e-41
1,clust,0.022444889779559118,4.874624937715494e-37
1,clust,0.023847695390781562,1.7833372050022035e-33
1,clust,0.025250501002004006,4.263918477453523e-30
1,clust,0.026653306613226454,6.663838513514313e-27
1,clust,0.028056112224448898,6.808343131267253e-24
1,clust,0.029458917835671342,4.548049711744504e-21
1,clust,0.030861723446893786,1.9867584593556405e-18
1,clust,0.032264529058116234,5.676411490603895e-16
1,clust,0.033667334669338675,1.0609316824254448e-13
1,clust,0.03507014028056112,1.297369843783993e-11
1,clust,0.03647294589178356,1.0382034171475832e-09
1,clust,0.03787575150300601,5.437798299488144e-08
1,clust,0.03927855711422846,1.8645087589652662e-06
1,clust,0.0406813627254509,4.185841061588412e-05
1,clust,0.04208416833667335,0.0006153898535674168
1,clust,0.04348697394789579,0.005925623276071492
1,clust,0.044889779559118236,0.03737610985647549
1,clust,0.04629258517034068,0.1544496381029677
1,clust,0.047695390781563124,0.4182125440951507
1,clust,0.04909819639278557,0.7426793120321977
1,clust,0.05050100200400801,0.8705092451968053
1,clust,0.05190380761523046,0.7074549626405491
1,clust,0.05330661322645291,0.5376585499561323
1,clust,0.05470941883767535,0.7056356998034811
1,clust,0.056112224448897796,1.238568826116677
1,clust,0.05751503006012024,1.8463817260196356
1,clust,0.058917835671342685,2.21440591267583
1,clust,0.06032064128256513,2.271433217475769
1,clust,0.06172344689378757,2.1654836603828067
1,clust,0.06312625250501001,2.0648193393386274
1,clust,0.06452905811623247,2.091545597485908
1,clust,0.06593186372745491,2.286744922028924
1,clust,0.06733466933867735,2.6166366186505283
1,clust,0.0687374749498998,3.242752104222551
1,clust,0.07014028056112225,4.530952055443155
1,clust,0.07154308617234469,6.477395005226574
1,clust,0.07294589178356713,8.408668646486145
1,clust,0.07434869739478958,9.701339750101814
1,clust,0.07575150300601202,10.575818129536755
1,clust,0.07715430861723446,11.757246545401186
1,clust,0.07855711422845692,13.92055437683469
1,clust,0.07995991983967936,17.274181096954816
1,clust,0.0813627254509018,21.136411919609685
1,clust,0.08276553106212425,24.760239696974725
1,clust,0.0841683366733467,27.802154430796797
1,clust,0.08557114228456913,29.713179313083426
1,clust,0.08697394789579158,30.423568799538504
1,clust,0.08837675350701403,31.104751943185654
1,clust,0.08977955911823647,33.04112544231234
1,clust,0.09118236472945891,35.73778361717173
1,clust,0.09258517034068137,36.92822136728109
1,clust,0.09398797595190381,35.265203990239804
1,clust,0.09539078156312625,31.7904346156887
1,clust,0.09679358717434869,28.397806440422343
1,clust,0.09819639278557114,26.16991013369255
1,clust,0.09959919839679358,24.90418047483136
1,clust,0.10100200400801602,23.62063587120388
1,clust,0.10240480961923848,21.835557062735685
1,clust,0.10380761523046092,19.86244602166579
1,clust,0.10521042084168336,17.812645584995522
1,clust,0.10661322645290582,15.478213771619505
1,clust,0.10801603206412826,12.911677800984856
1,clust,0.1094188376753507,10.65490761880924
1,clust,0.11082164328657314,9.361203284719648
1,clust,0.11222444889779559,8.732137192177523
1,clust,0.11362725450901803,7.680559875262
1,clust,0.11503006012024047,5.845991466069955
1,clust,0.11643286573146293,3.899713186575951
1,clust,0.11783567134268537,2.5220488337334404
1,clust,0.11923847695390781,1.7829528039987874
1,clust,0.12064128256513026,1.4365803135402653
1,clust,0.1220440881763527,1.3549430901665451
1,clust,0.12344689378757515,1.476909214462925
1,clust,0.12484969939879759,1.612152509964589
1,clust,0.12625250501002003,1.6329152163033762
1,clust,0.1276553106212425,1.727241739579885
1,clust,0.12905811623246494,2.009017893044283
1,clust,0.13046092184368738,2.106876365838664
1,clust,0.13186372745490982,1.675450440799963
1,clust,0.13326653306613226,0.9464631948652271
1,clust,0.1346693386773547,0.37470764945429097
1,clust,0.13607214428857714,0.12653250700373508
1,clust,0.1374749498997996,0.13879069135498515
1,clust,0.13887775551102205,0.3558246238557737
1,clust,0.1402805611222445,0.681027988731213
1,clust,0.14168336673346693,0.861878318146369
1,clust,0.14308617234468937,0.717437467526815
1,clust,0.1444889779559118,0.39352094404998356
1,clust,0.14589178356713425,0.14874214712717493
1,clust,0.14729458917835672,0.07239726173043173
1,clust,0.14869739478957916,0.13744366359100207
1,clust,0.1501002004008016,0.2932688386615923
1,clust,0.15150300601202404,0.42300788975146325
1,clust,0.15290581162324648,0.39917973095532455
1,clust,0.15430861723446893,0.2484263178658399
1,clust,0.15571142284569137,0.11731359490676718
1,clust,0.15711422845691383,0.10616436139078866
1,clust,0.15851703406813628,0.2370735510682777
1,clust,0.15991983967935872,0.46662861384791005
1,clust,0.16132264529058116,0.6719585183793848
1,clust,0.1627254509018036,0.723869843819594
1,clust,0.16412825651302604,0.5888978513342492
1,clust,0.1655310621242485,0.35240968935530503
1,clust,0.16693386773547095,0.14878271628087655
1,clust,0.1683366733466934,0.042808362103196426
1,clust,0.16973947895791583,0.008217082868703441
1,clust,0.17114228456913827,0.0010404275059060057
1,clust,0.1725450901803607,8.641636433608552e-05
1,clust,0.17394789579158315,4.695947991363203e-06
1,clust,0.17535070140280562,1.6674701801457917e-07
1,clust,0.17675350701402806,3.866804189635976e-09
1,clust,0.1781563126252505,5.854515843802228e-11
1,clust,0.17955911823647294,5.786575989873778e-13
1,clust,0.18096192384769538,3.733531933671416e-15
1,clust,0.18236472945891782,1.5724411801019253e-17
1,clust,0.18376753507014026,4.322949055293218e-20
1,clust,0.18517034068136273,7.757729302351621e-23
1,clust,0.18657314629258517,9.087341036271082e-26
1,clust,0.18797595190380761,6.948422709348624e-29
1,clust,0.18937875751503006,3.468028054494831e-32
1,clust,0.1907815631262525,1.1298631206880008e-35
1,clust,0.19218436873747494,2.4027903311385762e-39
1,clust,0.19358717434869738,3.335436727590737e-43
1,clust,0.19498997995991985,3.0222912631199196e-47
1,clust,0.1963927855711423,1.7875849850435504e-51
1,clust,0.19779559118236473,6.901505710869106e-56
1,clust,0.19919839679358717,1.7392730811399016e-60
1,clust,0.2006012024048096,2.861135782047859e-65
1,clust,0.20200400801603205,3.072245604923301e-70
1,clust,0.20340681362725452,2.1533774645963932e-75
1,clust,0.20480961923847696,9.85215340004131e-81
1,clust,0.2062124248496994,2.9423134432876078e-86
1,clust,0.20761523046092184,5.7357930855634e-92
