event,zip,n_total,n_damaged,pct_damaged
Irma,34134,147,25,17.006802721088434
Irma,34135,89,5,5.617977528089887
Irma,34139,17,1,5.88235294117647
Irma,34140,1,0,0.0
Irma,34141,1,0,0.0
Irma,34145,1142,103,9.019264448336251
Irma,34205,23,2,8.695652173913043
Irma,34207,1,0,0.0
Irma,34208,57,4,7.017543859649122
Irma,34209,3,0,0.0
Irma,34210,2,0,0.0
Irma,34216,39,5,12.82051282051282
Irma,34217,22,3,13.636363636363635
Irma,34221,98,7,7.142857142857142
Irma,34222,21,0,0.0
Irma,34223,21,6,28.57142857142857
Irma,34228,4,2,50.0
Irma,34234,2,0,0.0
Irma,34242,17,1,5.88235294117647
Irma,34275,37,0,0.0
Irma,34285,4,1,25.0
Irma,34293,5,0,0.0
Michael,32321,3,1,33.33333333333333
Michael,32324,7,0,0.0
Michael,32401,1051,258,24.548049476688867
Michael,32404,958,216,22.546972860125262
Michael,32405,674,169,25.07418397626113
Michael,32407,23,2,8.695652173913043
Michael,32408,76,12,15.789473684210526
Michael,32409,15,3,20.0
Michael,32410,31,18,58.06451612903226
Michael,32421,2,1,50.0
Michael,32424,3,1,33.33333333333333
Michael,32428,2,0,0.0
Michael,32431,1,0,0.0
Michael,32442,8,2,25.0
Michael,32444,376,84,22.340425531914892
Michael,32446,55,8,14.545454545454545
Michael,32448,97,13,13.402061855670103
Michael,32456,95,74,77.89473684210526
Michael,32460,4,2,50.0
Michael,32466,1,0,0.0
Michael,39817,8,2,25.0
Michael,39819,12,1,8.333333333333332
Michael,39825,2,0,0.0
Michael,39837,1,1,100.0
Michael,39845,5,2,40.0
