disaster,t,int_bin,income_group,mean_rog,n
Michael (2018),-6,Gale-force (50–63kt),High,3.6416208544555237,2532
Michael (2018),-6,Gale-force (50–63kt),Low,3.880468605688254,5881
Michael (2018),-6,Hurricane-force (>=64kt),High,3.5795555190719286,194
Michael (2018),-6,Hurricane-force (>=64kt),Low,3.663060328133162,1614
Michael (2018),-6,No TS winds (<34kt),High,3.653888295804204,85926
Michael (2018),-6,No TS winds (<34kt),Low,3.5044929382530365,96560
Michael (2018),-6,Tropical-storm (34–49kt),High,3.835885596430744,7410
Michael (2018),-6,Tropical-storm (34–49kt),Low,4.079797585306376,13800
Michael (2018),-5,Gale-force (50–63kt),High,1.318694501822291,2234
Michael (2018),-5,Gale-force (50–63kt),Low,3.120211634635184,4478
Michael (2018),-5,Hurricane-force (>=64kt),High,1.386640038825977,150
Michael (2018),-5,Hurricane-force (>=64kt),Low,1.6401968286576472,1395
Michael (2018),-5,No TS winds (<34kt),High,1.4467805611870923,63305
Michael (2018),-5,No TS winds (<34kt),Low,1.691033801750082,72499
Michael (2018),-5,Tropical-storm (34–49kt),High,1.5936749873581717,5904
Michael (2018),-5,Tropical-storm (34–49kt),Low,2.005007727710582,10684
Michael (2018),-4,Gale-force (50–63kt),High,3.6549003374808238,3572
Michael (2018),-4,Gale-force (50–63kt),Low,5.285348287282024,6380
Michael (2018),-4,Hurricane-force (>=64kt),High,5.76227431775442,233
Michael (2018),-4,Hurricane-force (>=64kt),Low,4.742800379140498,2214
Michael (2018),-4,No TS winds (<34kt),High,5.030717039087853,95364
Michael (2018),-4,No TS winds (<34kt),Low,4.688754171845401,105551
Michael (2018),-4,Tropical-storm (34–49kt),High,4.6348649130918655,8763
Michael (2018),-4,Tropical-storm (34–49kt),Low,4.842653935592112,15487
Michael (2018),-3,Gale-force (50–63kt),High,3.0269682156294277,3344
Michael (2018),-3,Gale-force (50–63kt),Low,6.393538326652117,5850
Michael (2018),-3,Hurricane-force (>=64kt),High,6.06732624120066,203
Michael (2018),-3,Hurricane-force (>=64kt),Low,3.8003167267817095,2078
Michael (2018),-3,No TS winds (<34kt),High,4.998862350933692,86533
Michael (2018),-3,No TS winds (<34kt),Low,4.333019057005221,96172
Michael (2018),-3,Tropical-storm (34–49kt),High,4.913044985788091,8052
Michael (2018),-3,Tropical-storm (34–49kt),Low,4.636177993486556,14364
Michael (2018),-2,Gale-force (50–63kt),High,4.382505956465789,3037
Michael (2018),-2,Gale-force (50–63kt),Low,8.134310329237097,6023
Michael (2018),-2,Hurricane-force (>=64kt),High,7.634247674192302,205
Michael (2018),-2,Hurricane-force (>=64kt),Low,5.7564054570838525,1921
Michael (2018),-2,No TS winds (<34kt),High,4.143316418795334,89461
Michael (2018),-2,No TS winds (<34kt),Low,4.074886939055861,99588
Michael (2018),-2,Tropical-storm (34–49kt),High,4.5002070851922085,8160
Michael (2018),-2,Tropical-storm (34–49kt),Low,4.601604864862983,14504
Michael (2018),-1,Gale-force (50–63kt),High,6.926742701069603,2350
Michael (2018),-1,Gale-force (50–63kt),Low,7.161673641764014,5869
Michael (2018),-1,Hurricane-force (>=64kt),High,8.340300411866602,190
Michael (2018),-1,Hurricane-force (>=64kt),Low,8.002486237619252,1452
Michael (2018),-1,No TS winds (<34kt),High,4.162972589628677,89201
Michael (2018),-1,No TS winds (<34kt),Low,4.159802969349582,99255
Michael (2018),-1,Tropical-storm (34–49kt),High,4.6495586113650855,7484
Michael (2018),-1,Tropical-storm (34–49kt),Low,4.776954203219832,14077
Michael (2018),0,Gale-force (50–63kt),High,4.493182183944029,1885
Michael (2018),0,Gale-force (50–63kt),Low,4.445591199993735,5555
Michael (2018),0,Hurricane-force (>=64kt),High,3.100758760098719,105
Michael (2018),0,Hurricane-force (>=64kt),Low,2.311310538593802,887
Michael (2018),0,No TS winds (<34kt),High,4.070468801448131,86698
Michael (2018),0,No TS winds (<34kt),Low,4.034766465903832,96496
Michael (2018),0,Tropical-storm (34–49kt),High,3.4293533865208046,6402
Michael (2018),0,Tropical-storm (34–49kt),Low,3.863922598006137,13098
Michael (2018),1,Gale-force (50–63kt),High,4.91156042508475,1952
Michael (2018),1,Gale-force (50–63kt),Low,4.070846436233874,5696
Michael (2018),1,Hurricane-force (>=64kt),High,5.4228496812495255,52
Michael (2018),1,Hurricane-force (>=64kt),Low,3.6648909507993115,570
Michael (2018),1,No TS winds (<34kt),High,4.086117796252737,91377
Michael (2018),1,No TS winds (<34kt),Low,3.9308730764994104,101776
Michael (2018),1,Tropical-storm (34–49kt),High,4.090610535967303,7337
Michael (2018),1,Tropical-storm (34–49kt),Low,3.580621784803526,13983
Michael (2018),2,Gale-force (50–63kt),High,5.486988643304036,2169
Michael (2018),2,Gale-force (50–63kt),Low,6.513060751926177,6247
Michael (2018),2,Hurricane-force (>=64kt),High,5.689994551136889,79
Michael (2018),2,Hurricane-force (>=64kt),Low,5.138381617725756,698
Michael (2018),2,No TS winds (<34kt),High,5.674103217497346,98658
Michael (2018),2,No TS winds (<34kt),Low,5.384861050035411,109094
Michael (2018),2,Tropical-storm (34–49kt),High,5.8329027456721665,8290
Michael (2018),2,Tropical-storm (34–49kt),Low,5.919702148297223,15563
Michael (2018),3,Gale-force (50–63kt),High,4.384917513123095,2056
Michael (2018),3,Gale-force (50–63kt),Low,6.1019357360102955,5742
Michael (2018),3,Hurricane-force (>=64kt),High,3.8949128081821542,89
Michael (2018),3,Hurricane-force (>=64kt),Low,3.7065381956901216,713
Michael (2018),3,No TS winds (<34kt),High,5.57033549741935,89601
Michael (2018),3,No TS winds (<34kt),Low,4.943576249414305,98276
Michael (2018),3,Tropical-storm (34–49kt),High,5.247649170725313,7506
Michael (2018),3,Tropical-storm (34–49kt),Low,5.486114206956758,14000
Michael (2018),4,Gale-force (50–63kt),High,4.111745996233795,1800
Michael (2018),4,Gale-force (50–63kt),Low,8.650994741067665,5207
Michael (2018),4,Hurricane-force (>=64kt),High,7.931218843096276,95
Michael (2018),4,Hurricane-force (>=64kt),Low,4.233144355766867,668
Michael (2018),4,No TS winds (<34kt),High,5.403959725835618,79244
Michael (2018),4,No TS winds (<34kt),Low,4.563232257394256,87411
Michael (2018),4,Tropical-storm (34–49kt),High,5.444338845799109,6663
Michael (2018),4,Tropical-storm (34–49kt),Low,5.043768022329517,12717
Michael (2018),5,Gale-force (50–63kt),High,4.8186913554037325,1808
Michael (2018),5,Gale-force (50–63kt),Low,5.376941611444671,5529
Michael (2018),5,Hurricane-force (>=64kt),High,1.991799697342325,85
Michael (2018),5,Hurricane-force (>=64kt),Low,5.186028250979463,671
Michael (2018),5,No TS winds (<34kt),High,4.450835928301659,83268
Michael (2018),5,No TS winds (<34kt),Low,4.302077086623109,92058
Michael (2018),5,Tropical-storm (34–49kt),High,4.745916219355228,6967
Michael (2018),5,Tropical-storm (34–49kt),Low,5.099401489780925,13137
Michael (2018),6,Gale-force (50–63kt),High,4.448928164153862,1832
Michael (2018),6,Gale-force (50–63kt),Low,4.400349467760594,5680
Michael (2018),6,Hurricane-force (>=64kt),High,3.5906327692091744,96
Michael (2018),6,Hurricane-force (>=64kt),Low,4.39621176744615,836
Michael (2018),6,No TS winds (<34kt),High,4.253445475622678,85050
Michael (2018),6,No TS winds (<34kt),Low,4.229844980113292,93933
Michael (2018),6,Tropical-storm (34–49kt),High,4.71578059696644,7141
Michael (2018),6,Tropical-storm (34–49kt),Low,4.711284626977683,13364
Michael (2018),7,Gale-force (50–63kt),High,4.413471565043871,1945
Michael (2018),7,Gale-force (50–63kt),Low,4.59413503479147,5771
Michael (2018),7,Hurricane-force (>=64kt),High,4.137796774404069,141
Michael (2018),7,Hurricane-force (>=64kt),Low,4.427191937276681,995
Michael (2018),7,No TS winds (<34kt),High,4.337376858625971,87607
Michael (2018),7,No TS winds (<34kt),Low,4.3360697307967255,96342
Michael (2018),7,Tropical-storm (34–49kt),High,4.5967007595644604,7374
Michael (2018),7,Tropical-storm (34–49kt),Low,5.1020384268443,13629
