disaster,quantity,x,y
Harvey,location_rank,43.0,0.0003040605785212102
Harvey,location_rank,44.0,0.0003091167464670148
Harvey,location_rank,45.0,0.00029118498135654214
Harvey,location_rank,46.0,0.000282405362026779
Harvey,location_rank,47.0,0.0002759620835791958
Harvey,location_rank,48.0,0.0002573445081058552
Harvey,location_rank,49.0,0.0002581931108044344
Harvey,location_rank,50.0,0.0002494761627716664
Harvey,location_rank,51.0,0.00024758746139489886
Harvey,location_rank,52.0,0.0002390842258094971
Harvey,location_rank,53.0,0.00023537577601444543
Harvey,location_rank,54.0,0.00022436599788333255
Harvey,location_rank,55.0,0.00021647019259229787
Harvey,location_rank,56.0,0.000216636906927407
Harvey,location_rank,57.0,0.00021182363178319153
Harvey,location_rank,58.0,0.00021216154062419715
Harvey,location_rank,59.0,0.00019999971487620662
Harvey,location_rank,60.0,0.00019430147651155682
Harvey,location_rank,61.0,0.0001985011770254003
Harvey,location_rank,62.0,0.0001926011106872284
Harvey,location_rank,63.0,0.00019245600264458152
Harvey,location_rank,64.0,0.00018365764327763482
Harvey,location_rank,65.0,0.0001788429928010567
Harvey,location_rank,66.0,0.00017217037603226164
Harvey,location_rank,67.0,0.00017438409444532656
Harvey,location_rank,68.0,0.00017818885795625194
Harvey,location_rank,69.0,0.00016533749447351342
Harvey,location_rank,70.0,0.00015469426111009078
Harvey,location_rank,71.0,0.00016558980261069153
Harvey,location_rank,72.0,0.0001496542929085536
Harvey,location_rank,73.0,0.00015069533962005073
Harvey,location_rank,74.0,0.0001448408700846579
Harvey,location_rank,75.0,0.00014629984430649865
Harvey,location_rank,76.0,0.0001423889714412521
Harvey,location_rank,77.0,0.00014580308342911243
Harvey,location_rank,78.0,0.00014459490766897953
Harvey,location_rank,79.0,0.00014066664652339833
Harvey,location_rank,80.0,0.0001321806570713541
Harvey,location_rank,81.0,0.00013615600996396698
Harvey,location_rank,82.0,0.00012422381791850462
Harvey,location_rank,83.0,0.00012294551193893402
Harvey,location_rank,84.0,0.00012730971939684102
Harvey,location_rank,85.0,0.000129674440496077
Harvey,location_rank,86.0,0.0001107875769932681
Harvey,location_rank,87.0,9.209148499723597e-05
Harvey,location_rank,88.0,0.00011057626988003018
Harvey,location_rank,89.0,0.00011888503033265514
Harvey,location_rank,90.0,0.00011998492054918887
Harvey,location_rank,91.0,0.00011733897969853152
Harvey,location_rank,92.0,0.00012629674333904383
Harvey,location_rank,93.0,0.0001336819258943926
Harvey,location_rank,94.0,0.00010153381047831454
Harvey,location_rank,95.0,0.000107653231998636
Harvey,location_rank,96.0,0.00011636132776876595
Harvey,location_rank,97.0,0.000112752125888961
Harvey,location_rank,98.0,8.893910431915883e-05
Harvey,location_rank,99.0,8.087265401352447e-05
Harvey,location_rank,100.0,9.768126936639485e-05
Harvey,location_rank,101.0,0.00010010470940104625
Harvey,location_rank,102.0,0.0001267583331336308
Harvey,location_rank,103.0,9.388076672275675e-05
Harvey,location_rank,104.0,7.547018671900593e-05
Harvey,location_rank,105.0,0.00010442084787778828
Harvey,location_rank,106.0,0.00012494524036726968
Harvey,location_rank,107.0,8.742527100944616e-05
Harvey,location_rank,108.0,8.413176821981456e-05
Harvey,location_rank,109.0,0.0001008775629517277
Harvey,location_rank,110.0,7.07913433641314e-05
Harvey,location_rank,111.0,8.704866895017373e-05
Harvey,location_rank,112.0,8.8634402490755e-05
Harvey,location_rank,113.0,6.789242973993222e-05
Harvey,location_rank,114.0,7.572225175428005e-05
Harvey,location_rank,115.0,6.0773895295139615e-05
Harvey,location_rank,116.0,5.743639008698859e-05
Harvey,location_rank,117.0,0.00011173721458355987
Harvey,location_rank,118.0,0.00010769463330407107
Harvey,location_rank,119.0,6.661150712350557e-05
Harvey,location_rank,120.0,3.912353774082518e-05
Harvey,location_rank,121.0,7.472814906114261e-05
Harvey,location_rank,122.0,0.00010984596864351323
Harvey,location_rank,123.0,8.159554138202452e-05
Harvey,location_rank,124.0,5.1294862263210845e-05
Harvey,location_rank,125.0,0.00022260580897939846
Harvey,location_rank,126.0,0.00015719734782194503
Harvey,location_rank,127.0,8.219389470651381e-05
Harvey,location_rank,128.0,8.356875095022293e-05
Harvey,location_rank,129.0,5.2439057874159563e-05
Harvey,location_rank,130.0,0.00015280200439096893
Harvey,location_rank,131.0,8.315414910929176e-05
Harvey,location_rank,132.0,5.738207660285784e-05
Harvey,location_rank,133.0,0.00019127633257173555
Harvey,location_rank,134.0,0.0001474655642588724
Harvey,location_rank,135.0,0.00010939054442761561
Harvey,location_rank,136.0,6.581515138804603e-05
Harvey,location_rank,137.0,3.379583632715153e-05
Harvey,location_rank,138.0,0.00048334119359708767
Harvey,location_rank,139.0,0.000437350104748907
Harvey,location_rank,140.0,0.0003555017063127104
Harvey,location_rank,141.0,0.00029242187047206553
Harvey,location_rank,142.0,0.00020745813720876948
Harvey,location_rank,143.0,0.00014858256216680383
Harvey,location_rank,144.0,0.00010282778918915952
Harvey,location_rank,145.0,5.690582470286386e-05
Harvey,location_rank,146.0,2.5618385567095193e-05
Harvey,location_rank,147.0,0.00034045836518356955
Harvey,location_rank,148.0,0.0003222669916101368
Harvey,location_rank,149.0,0.00030515503145062015
Harvey,location_rank,150.0,0.0002649954196306298
Harvey,location_rank,151.0,0.00026166804638175635
Harvey,location_rank,152.0,0.00021842448027639208
Harvey,location_rank,153.0,0.0001985406298640429
Harvey,location_rank,154.0,0.00017228748263805834
Harvey,location_rank,155.0,0.00014442341122804058
Harvey,location_rank,156.0,0.00012465148606329
Harvey,location_rank,157.0,8.935956564492282e-05
Harvey,location_rank,158.0,6.31035537945181e-05
Harvey,location_rank,159.0,3.440735887506354e-05
Harvey,location_rank,160.0,6.703361296491101e-05
Harvey,location_rank,161.0,4.3120494689792155e-05
Harvey,location_rank,162.0,3.508056203845256e-05
Harvey,location_rank,163.0,0.00011779812786397977
Harvey,location_rank,164.0,9.368557932155452e-05
Harvey,location_rank,165.0,5.7856774033439153e-05
Harvey,location_rank,166.0,2.941582803511603e-05
Harvey,location_rank,167.0,0.00029079521306341576
Harvey,location_rank,168.0,0.00026842635052007607
Harvey,location_rank,169.0,0.0002460574879767364
Harvey,location_rank,170.0,0.00022368862543339677
Harvey,location_rank,171.0,0.00020131976289005691
Harvey,location_rank,172.0,0.00017895090034671752
Harvey,location_rank,173.0,0.00015658203780337753
Harvey,location_rank,174.0,0.0001342131752600383
Harvey,location_rank,175.0,0.00011184431271669829
Harvey,location_rank,176.0,8.947545017335888e-05
Harvey,location_rank,177.0,6.71065876300188e-05
Harvey,location_rank,178.0,4.473772508667871e-05
Harvey,location_rank,179.0,2.236886254333959e-05
Irma,departure_time,0.0,0.013656949660379282
Irma,departure_time,1.0,0.010839649780057825
Irma,departure_time,2.0,0.009313924704394435
Irma,departure_time,3.0,0.00974947368569932
Irma,departure_time,4.0,0.011024362714669503
Irma,departure_time,5.0,0.01705389791600917
Irma,departure_time,6.0,0.03383596452091766
Irma,departure_time,7.0,0.055911831148962046
Irma,departure_time,8.0,0.061488834053143655
Irma,departure_time,9.0,0.057447723794831866
Irma,departure_time,10.0,0.05891346615708065
Irma,departure_time,11.0,0.06318112764896705
Irma,departure_time,12.0,0.0673212482030252
Irma,departure_time,13.0,0.06683376531575373
Irma,departure_time,14.0,0.06752436711065246
Irma,departure_time,15.0,0.07032343954205751
Irma,departure_time,16.0,0.07169594111995106
Irma,departure_time,17.0,0.06317357428049193
Irma,departure_time,18.0,0.047522229499070555
Irma,departure_time,19.0,0.03449673341654595
Irma,departure_time,20.0,0.03654045792917755
Irma,departure_time,21.0,0.0302663211855383
Irma,departure_time,22.0,0.023828335300459014
Irma,departure_time,23.0,0.01805638131216428
Irma,stay_duration,0.25,0.9186592819140977
Irma,stay_duration,0.75,0.035041419085548337
Irma,stay_duration,1.25,0.016177756631242775
Irma,stay_duration,1.75,0.00851516147932521
Irma,stay_duration,2.25,0.005369894218253554
Irma,stay_duration,2.75,0.003578427963627098
Irma,stay_duration,3.25,0.0025691806390117406
Irma,stay_duration,3.75,0.0019023845224658221
Irma,stay_duration,4.25,0.0014731608914784818
Irma,stay_duration,4.75,0.001112384853433611
Irma,stay_duration,5.25,0.0008695271048344172
Irma,stay_duration,5.75,0.0006818183179991387
Irma,stay_duration,6.25,0.0005604070671174831
Irma,stay_duration,6.75,0.0004801976050409461
Irma,stay_duration,7.25,0.0004275529309664989
Irma,stay_duration,7.75,0.0003678377416139759
Irma,stay_duration,8.25,0.00034625257931939136
Irma,stay_duration,8.75,0.00031407221815845786
Irma,stay_duration,9.25,0.00025784999024191347
Irma,stay_duration,9.75,0.00020587853073282647
Irma,stay_duration,10.25,0.00017547637244217677
Irma,stay_duration,10.75,0.0001528567155144341
Irma,stay_duration,11.25,0.000128231513624964
Irma,stay_duration,11.75,0.00010971458839397123
Irma,stay_duration,12.25,8.983889763969916e-05
Irma,stay_duration,12.75,7.621599557102359e-05
Irma,stay_duration,13.25,6.263362736361316e-05
Irma,stay_duration,13.75,5.171768229073134e-05
Irma,stay_duration,14.25,4.143089323835627e-05
Irma,stay_duration,14.75,3.4016721310423785e-05
Irma,stay_duration,15.25,2.8266200036156205e-05
Irma,stay_duration,15.75,2.265137908003714e-05
Irma,stay_duration,16.25,1.9401620811649334e-05
Irma,stay_duration,16.75,1.614481317608498e-05
Irma,stay_duration,17.25,1.3665198271734846e-05
Irma,stay_duration,17.75,1.1812977046097328e-05
Irma,stay_duration,18.25,1.0124653607314508e-05
Irma,stay_duration,18.75,8.709493146622854e-06
Irma,stay_duration,19.25,7.650325728346784e-06
Irma,stay_duration,19.75,6.881944706103247e-06
Irma,stay_duration,20.25,5.466784245411593e-06
Irma,stay_duration,20.75,3.854241503776646e-06
Irma,stay_duration,21.25,2.966021239531822e-06
Irma,stay_duration,21.75,2.493713638703225e-06
Irma,stay_duration,22.25,2.328053510054389e-06
Irma,stay_duration,22.75,2.3051430667306137e-06
Irma,stay_duration,23.25,1.9932085691684434e-06
Irma,stay_duration,23.75,7.04936717654622e-07
Irma,location_rank,1.0,0.12584995974990812
Irma,location_rank,2.0,0.0517395811811432
Irma,location_rank,3.0,0.01863739664247857
Irma,location_rank,4.0,0.011330066762090977
Irma,location_rank,5.0,0.00799370127319978
Irma,location_rank,6.0,0.006076784905556196
Irma,location_rank,7.0,0.004897650570889358
Irma,location_rank,8.0,0.003993735371244359
Irma,location_rank,9.0,0.003396698559921739
Irma,location_rank,10.0,0.0028800017721433892
Irma,location_rank,11.0,0.0025123425989163318
Irma,location_rank,12.0,0.0021995315794895005
Irma,location_rank,13.0,0.001954469152040532
Irma,location_rank,14.0,0.0017460890794087699
Irma,location_rank,15.0,0.0015817723028832692
Irma,location_rank,16.0,0.0014239680934159064
Irma,location_rank,17.0,0.0013112370695299244
Irma,location_rank,18.0,0.0011804364245019815
Irma,location_rank,19.0,0.0010882465300677893
Irma,location_rank,20.0,0.0010071900787589352
Irma,location_rank,21.0,0.0009436336806837803
Irma,location_rank,22.0,0.000870737569708078
Irma,location_rank,23.0,0.0008091961736220972
Irma,location_rank,24.0,0.0007519923603784892
Irma,location_rank,25.0,0.0007108222040640945
Irma,location_rank,26.0,0.0006667381898890072
Irma,location_rank,27.0,0.0006348139849692031
Irma,location_rank,28.0,0.00059619616532847
Irma,location_rank,29.0,0.0005706005536564299
Irma,location_rank,30.0,0.0005421694564105188
Irma,location_rank,31.0,0.0005207638679728851
Irma,location_rank,32.0,0.0004941036087377463
Irma,location_rank,33.0,0.00046643491209699255
Irma,location_rank,34.0,0.00044615461651238063
Irma,location_rank,35.0,0.0004276709116725094
Irma,location_rank,36.0,0.0004128851300163724
Irma,location_rank,37.0,0.00039824906418979415
Irma,location_rank,38.0,0.0003880309382318718
Irma,location_rank,39.0,0.0003712081666218366
Irma,location_rank,40.0,0.0003577772733536324
Irma,location_rank,41.0,0.000340482761551929
Irma,location_rank,42.0,0.00033472123413575035
Irma,location_rank,43.0,0.0003229738958787553
Irma,location_rank,44.0,0.00031263505364504854
Irma,location_rank,45.0,0.00030090228839122006
Irma,location_rank,46.0,0.00028776773060243437
Irma,location_rank,47.0,0.0002852390711070811
Irma,location_rank,48.0,0.00027619104488678804
Irma,location_rank,49.0,0.0002644311254503169
Irma,location_rank,50.0,0.0002644857673509973
Irma,location_rank,51.0,0.0002613033809670344
Irma,location_rank,52.0,0.0002523538015491993
Irma,location_rank,53.0,0.00023701769402467455
Irma,location_rank,54.0,0.00023362489375306145
Irma,location_rank,55.0,0.0002299171446742626
Irma,location_rank,56.0,0.0002237890187120913
Irma,location_rank,57.0,0.00022558019222943025
Irma,location_rank,58.0,0.00021635094142641244
Irma,location_rank,59.0,0.00021538103670124583
Irma,location_rank,60.0,0.00019943289141325743
Irma,location_rank,61.0,0.00021231882575925272
Irma,location_rank,62.0,0.00019745578488948595
Irma,location_rank,63.0,0.0001895753349058782
Irma,location_rank,64.0,0.00018270741023217922
Irma,location_rank,65.0,0.00018351036839890682
Irma,location_rank,66.0,0.00017283510151880766
Irma,location_rank,67.0,0.00016576533646289423
Irma,location_rank,68.0,0.00017257682028383426
Irma,location_rank,69.0,0.0001669041044409757
Irma,location_rank,70.0,0.00016354836638574847
Irma,location_rank,71.0,0.0001546593954362041
Irma,location_rank,72.0,0.0001630121209344813
Irma,location_rank,73.0,0.00015729685436334493
Irma,location_rank,74.0,0.0001537144506402657
Irma,location_rank,75.0,0.000156749151939656
Irma,location_rank,76.0,0.00013936353206292184
Irma,location_rank,77.0,0.00013080077277565486
Irma,location_rank,78.0,0.0001433791218048577
Irma,location_rank,79.0,0.00012877311949527443
Irma,location_rank,80.0,0.0001247133241150611
Irma,location_rank,81.0,0.00015047952914572197
Irma,location_rank,82.0,0.00014909040364567667
Irma,location_rank,83.0,0.00012360260008345008
Irma,location_rank,84.0,0.0001491679269996905
Irma,location_rank,85.0,0.00012706655726671073
Irma,location_rank,86.0,0.00010369024543685169
Irma,location_rank,87.0,0.00011861427452763957
Irma,location_rank,88.0,0.00012111967623903266
Irma,location_rank,89.0,0.00012330602772824746
Irma,location_rank,90.0,0.00012256499786359425
Irma,location_rank,91.0,0.00012184432883341156
Irma,location_rank,92.0,0.00010414473755338828
Irma,location_rank,93.0,0.0001023232986411215
Irma,location_rank,94.0,0.0001223584972181007
Irma,location_rank,95.0,0.0001069584744453697
Irma,location_rank,96.0,8.470660087198647e-05
Irma,location_rank,97.0,8.230115511903433e-05
Irma,location_rank,98.0,0.00020473335147802135
Irma,location_rank,99.0,0.00015452200437580965
Irma,location_rank,100.0,0.00014128801225897717
Irma,location_rank,101.0,0.0001554405868941024
Irma,location_rank,102.0,0.00018979472764548384
Irma,location_rank,103.0,0.00010094493001060165
Irma,location_rank,104.0,9.027416459756045e-05
Irma,location_rank,105.0,0.00014220571913939052
Irma,location_rank,106.0,0.000143372358518911
Irma,location_rank,107.0,9.930997372155209e-05
Irma,location_rank,108.0,0.00014250252130729987
Irma,location_rank,109.0,9.172781625629979e-05
Irma,location_rank,110.0,7.996758956840392e-05
Irma,location_rank,111.0,7.108020182060465e-05
Irma,location_rank,112.0,6.165305142739408e-05
Irma,location_rank,113.0,0.0002353647496733612
Irma,location_rank,114.0,0.0001895840457755934
Irma,location_rank,115.0,0.0001245838726981845
Irma,location_rank,116.0,8.57791021054085e-05
Irma,location_rank,117.0,8.730614573793743e-05
Irma,location_rank,118.0,4.1608325227075656e-05
Irma,location_rank,119.0,0.00012941971548705445
Irma,location_rank,120.0,0.00011233010507126247
Irma,location_rank,121.0,5.740261590791739e-05
Irma,location_rank,122.0,0.0003357743499870178
Irma,location_rank,123.0,0.0003200318030514096
Irma,location_rank,124.0,0.0002452389684802352
Irma,location_rank,125.0,0.00021289690299610133
Irma,location_rank,126.0,0.00018145786560627662
Irma,location_rank,127.0,0.00013995431983358794
Irma,location_rank,128.0,8.570132441045293e-05
Irma,location_rank,129.0,4.890427752314473e-05
Irma,location_rank,130.0,0.0002428767635370802
Irma,location_rank,131.0,0.00021805023092622737
Irma,location_rank,132.0,0.00015095953795950668
Irma,location_rank,133.0,0.00016886187603080933
Irma,location_rank,134.0,0.00010940656616033562
Irma,location_rank,135.0,7.357695500750331e-05
Irma,location_rank,136.0,4.885896242729265e-05
Irma,location_rank,137.0,2.5263198164869962e-05
Irma,location_rank,138.0,0.0010485582324304083
Irma,location_rank,139.0,0.0009986268880289601
Irma,location_rank,140.0,0.0009736612158282362
Irma,location_rank,141.0,0.0009237298714267881
Irma,location_rank,142.0,0.0008737985270253401
Irma,location_rank,143.0,0.0008488328548246161
Irma,location_rank,144.0,0.0008238671826238923
Irma,location_rank,145.0,0.0007989015104231681
Irma,location_rank,146.0,0.0007739358382224442
Irma,location_rank,147.0,0.0007489701660217201
Irma,location_rank,148.0,0.0007240044938209961
Irma,location_rank,149.0,0.0006990388216202722
Irma,location_rank,150.0,0.0006740731494195481
Irma,location_rank,151.0,0.0006491074772188241
Irma,location_rank,152.0,0.0006241418050181
Irma,location_rank,153.0,0.000599176132817376
Irma,location_rank,154.0,0.0005742104606166522
Irma,location_rank,155.0,0.0005492447884159281
Irma,location_rank,156.0,0.0005242791162152041
Irma,location_rank,157.0,0.0004993134440144801
Irma,location_rank,158.0,0.0004743477718137561
Irma,location_rank,159.0,0.00044938209961303203
Irma,location_rank,160.0,0.00042441642741230807
Irma,location_rank,161.0,0.0003994507552115841
Irma,location_rank,162.0,0.00037448508301086015
Irma,location_rank,163.0,0.00034951941081013614
Irma,location_rank,164.0,0.00032455373860941207
Irma,location_rank,165.0,0.0002995880664086881
Irma,location_rank,166.0,0.00027462239420796415
Irma,location_rank,167.0,0.0002496567220072399
Irma,location_rank,168.0,0.0002246910498065159
Irma,location_rank,169.0,0.00019972537760579187
Irma,location_rank,170.0,0.0001747597054050679
Irma,location_rank,171.0,0.0001497940332043439
Irma,location_rank,172.0,0.00012482836100361985
Irma,location_rank,173.0,9.986268880289588e-05
Irma,location_rank,174.0,7.489701660217192e-05
Irma,location_rank,175.0,4.993134440144793e-05
Irma,location_rank,176.0,2.4965672200723963e-05
Imelda,departure_time,0.0,0.015194936871033213
Imelda,departure_time,1.0,0.011571211445269304
Imelda,departure_time,2.0,0.010144713510708737
Imelda,departure_time,3.0,0.009711093931963908
Imelda,departure_time,4.0,0.012829116897834543
Imelda,departure_time,5.0,0.02298707795158771
Imelda,departure_time,6.0,0.04357620313948474
Imelda,departure_time,7.0,0.06972104293677173
Imelda,departure_time,8.0,0.06381191012408884
Imelda,departure_time,9.0,0.059940545626705345
Imelda,departure_time,10.0,0.062273674163021354
Imelda,departure_time,11.0,0.06956329594331788
Imelda,departure_time,12.0,0.07514189130912835
Imelda,departure_time,13.0,0.07316519166772735
Imelda,departure_time,14.0,0.06080563018379796
Imelda,departure_time,15.0,0.033619051092689096
Imelda,departure_time,16.0,0.03021546608858188
Imelda,departure_time,17.0,0.02745461063063939
Imelda,departure_time,18.0,0.03700221613398471
Imelda,departure_time,19.0,0.06360494475892028
Imelda,departure_time,20.0,0.05287815545289893
Imelda,departure_time,21.0,0.04193424266568401
Imelda,departure_time,22.0,0.031009503822373583
Imelda,departure_time,23.0,0.02184427365178717
Imelda,stay_duration,0.25,0.8627596007597202
Imelda,stay_duration,0.75,0.04521066282141118
