disaster,distance_km,density
Harvey (2017),0.0,0.0
Harvey (2017),0.40080160320641284,0.0
Harvey (2017),0.8016032064128257,0.0
Harvey (2017),1.2024048096192386,0.010826076027202541
Harvey (2017),1.6032064128256514,0.011482539773238579
Harvey (2017),2.0040080160320644,0.012146362048251869
Harvey (2017),2.404809619238477,0.012814763271471626
Harvey (2017),2.80561122244489,0.013484856976447183
Harvey (2017),3.2064128256513027,0.01415367952876627
Harvey (2017),3.6072144288577155,0.01481822146779028
Harvey (2017),4.008016032064129,0.015475459926119163
Harvey (2017),4.408817635270541,0.01612239155072889
Harvey (2017),4.809619238476954,0.016756065334281325
Harvey (2017),5.210420841683367,0.01737361476455334
Harvey (2017),5.61122244488978,0.017972288714347615
Harvey (2017),6.012024048096192,0.0185494805232263
Harvey (2017),6.412825651302605,0.019102754765067394
Harvey (2017),6.813627254509019,0.01962987125045962
Harvey (2017),7.214428857715431,0.02012880587861984
Harvey (2017),7.615230460921844,0.0205977680277902
Harvey (2017),8.016032064128257,0.02103521425366646
Harvey (2017),8.41683366733467,0.021439858149885218
Harvey (2017),8.817635270541082,0.021810676310416378
Harvey (2017),9.218436873747494,0.02214691041839824
Harvey (2017),9.619238476953909,0.02244806556708988
Harvey (2017),10.02004008016032,0.022713904994054523
Harvey (2017),10.420841683366733,0.022944441477444077
Harvey (2017),10.821643286573147,0.023139925701778506
Harvey (2017),11.22244488977956,0.023300831948624725
Harvey (2017),11.623246492985972,0.023427841504287443
Harvey (2017),12.024048096192384,0.023521824201564425
Harvey (2017),12.424849699398798,0.023583818525804535
Harvey (2017),12.82565130260521,0.0236150107172773
Harvey (2017),13.226452905811623,0.023616713292945624
Harvey (2017),13.627254509018037,0.02359034339212944
Harvey (2017),14.02805611222445,0.023537401323517827
Harvey (2017),14.428857715430862,0.023459449656967498
Harvey (2017),14.829659318637274,0.02335809316406464
Harvey (2017),15.230460921843688,0.023234959868123132
Harvey (2017),15.6312625250501,0.0230916834187481
Harvey (2017),16.032064128256515,0.022929886959787826
Harvey (2017),16.432865731462925,0.02275116861386786
Harvey (2017),16.83366733466934,0.022557088662924957
Harvey (2017),17.234468937875754,0.022349158463314762
Harvey (2017),17.635270541082164,0.02212883109693501
Harvey (2017),18.03607214428858,0.02189749372700428
Harvey (2017),18.43687374749499,0.02165646159903598
Harvey (2017),18.837675350701403,0.02140697360429213
Harvey (2017),19.238476953907817,0.021150189304588445
Harvey (2017),19.639278557114228,0.020887187303540965
Harvey (2017),20.04008016032064,0.02061896483986171
Harvey (2017),20.440881763527056,0.020346438472706622
Harvey (2017),20.841683366733466,0.020070445726843116
Harvey (2017),21.24248496993988,0.019791747565993723
Harvey (2017),21.643286573146295,0.019511031565599496
Harvey (2017),22.044088176352705,0.019228915660895983
Harvey (2017),22.44488977955912,0.018945952352126854
Harvey (2017),22.845691382765533,0.018662633255541256
Harvey (2017),23.246492985971944,0.018379393896144066
Harvey (2017),23.647294589178358,0.018096618645761935
Harvey (2017),24.04809619238477,0.017814645717638307
Harvey (2017),24.448897795591183,0.01753377213635743
Harvey (2017),24.849699398797597,0.017254258609369067
Harvey (2017),25.250501002004007,0.016976334233733157
Harvey (2017),25.65130260521042,0.016700200978958604
Harvey (2017),26.052104208416836,0.016426037894030066
Harvey (2017),26.452905811623246,0.0161540049939675
Harvey (2017),26.85370741482966,0.0158842467886085
Harvey (2017),27.254509018036075,0.015616895423789103
Harvey (2017),27.655310621242485,0.015352073412753926
Harvey (2017),28.0561122244489,0.015089895943431374
Harvey (2017),28.45691382765531,0.014830472755144071
Harvey (2017),28.857715430861724,0.014573909586294162
Harvey (2017),29.258517034068138,0.014320309202471243
Harvey (2017),29.65931863727455,0.014069772022142272
Harvey (2017),30.060120240480963,0.013822396364442461
Harvey (2017),30.460921843687377,0.013578278350426395
Harvey (2017),30.861723446893787,0.013337511495296916
Harvey (2017),31.2625250501002,0.013100186034430148
Harvey (2017),31.663326653306616,0.01286638803033173
Harvey (2017),32.06412825651303,0.012636198310842369
Harvey (2017),32.46492985971944,0.01240969129089475
Harvey (2017),32.86573146292585,0.01218693373082552
Harvey (2017),33.26653306613227,0.011967983483671151
Harvey (2017),33.66733466933868,0.011752888282019978
Harvey (2017),34.06813627254509,0.011541684611944904
Harvey (2017),34.46893787575151,0.011334396717373862
Harvey (2017),34.86973947895792,0.011131035773114471
Harvey (2017),35.27054108216433,0.010931599258794089
Harvey (2017),35.671342685370746,0.010736070559375971
Harvey (2017),36.07214428857716,0.010544418810873105
Harvey (2017),36.47294589178357,0.010356599002598981
Harvey (2017),36.87374749498998,0.010172552339967895
Harvey (2017),37.274549098196395,0.009992206864688396
Harvey (2017),37.675350701402806,0.009815478322354935
Harvey (2017),38.07615230460922,0.0096422712611076
Harvey (2017),38.476953907815634,0.009472480339329502
Harvey (2017),38.877755511022045,0.00930599181541156
Harvey (2017),39.278557114228455,0.009142685188519706
Harvey (2017),39.67935871743487,0.008982434956111425
Harvey (2017),40.08016032064128,0.008825112451705214
Harvey (2017),40.480961923847694,0.008670587725113537
Harvey (2017),40.88176352705411,0.008518731426991744
Harvey (2017),41.28256513026052,0.008369416660096333
Harvey (2017),41.68336673346693,0.008222520761025517
Harvey (2017),42.08416833667335,0.008077926978366904
Harvey (2017),42.48496993987976,0.007935526016006725
Harvey (2017),42.88577154308617,0.007795217413778779
Harvey (2017),43.28657314629259,0.007656910741536869
Harvey (2017),43.687374749499,0.0075205265870239135
Harvey (2017),44.08817635270541,0.007385997322472935
Harvey (2017),44.48897795591183,0.007253267639606291
Harvey (2017),44.88977955911824,0.007122294847494058
Harvey (2017),45.29058116232465,0.006993048932490098
Harvey (2017),45.69138276553107,0.006865512384097939
Harvey (2017),46.09218436873748,0.006739679795029419
Harvey (2017),46.49298597194389,0.006615557247838766
Harvey (2017),46.8937875751503,0.006493161504269678
Harvey (2017),47.294589178356716,0.006372519016774311
Harvey (2017),47.69539078156313,0.00625366478451539
Harvey (2017),48.09619238476954,0.0061366410784874795
Harvey (2017),48.496993987975955,0.006021496062177675
Harvey (2017),48.897795591182366,0.005908282335399467
Harvey (2017),49.298597194388776,0.005797055429577202
Harvey (2017),49.699398797595194,0.005687872282837844
Harvey (2017),50.100200400801604,0.0055807897227914995
Harvey (2017),50.501002004008015,0.005475862983891069
Harvey (2017),50.90180360721443,0.005373144284783023
Harvey (2017),51.30260521042084,0.005272681489150657
Harvey (2017),51.703406813627254,0.005174516871255291
Harvey (2017),52.10420841683367,0.005078686004774956
Harvey (2017),52.50501002004008,0.004985216790674699
Harvey (2017),52.90581162324649,0.004894128636803087
Harvey (2017),53.30661322645291,0.004805431798757426
Harvey (2017),53.70741482965932,0.004719126888369789
Harvey (2017),54.10821643286573,0.00463520455300305
Harvey (2017),54.50901803607215,0.0045536453257768224
