disaster,population,mobile_count
Harvey,2545,71
Harvey,6142,50
Harvey,7326,51
Harvey,3707,136
Harvey,9104,561
Harvey,7213,44
Harvey,4323,129
Harvey,3492,80
Harvey,4512,205
Harvey,6015,197
Harvey,5463,122
Harvey,3552,116
Harvey,8122,65
Harvey,4710,38
Harvey,5514,71
Harvey,5239,157
Harvey,3310,98
Harvey,2705,150
Harvey,2354,180
Harvey,3872,76
Harvey,2226,39
Harvey,2679,117
Harvey,3287,135
Harvey,5850,157
Harvey,2223,68
Harvey,8338,231
Harvey,4177,184
Harvey,4556,139
Harvey,6573,288
Harvey,1785,23
Harvey,8632,473
Harvey,2083,79
Harvey,6425,307
Harvey,2556,205
Harvey,7187,269
Harvey,8370,146
Harvey,4131,385
Harvey,3622,84
Harvey,7676,72
Harvey,2495,45
Harvey,5569,99
Harvey,4426,202
Harvey,3723,84
Harvey,6058,155
Harvey,2550,209
Harvey,1888,17
Harvey,2594,129
Harvey,5801,206
Harvey,1740,60
Harvey,3909,198
Harvey,3766,171
Harvey,6728,207
Harvey,1903,71
Harvey,6818,155
Harvey,3000,86
Harvey,3064,67
Harvey,2763,53
Harvey,1314,34
Harvey,4249,42
Harvey,4519,38
Harvey,3473,82
Harvey,4626,106
Harvey,3767,61
Harvey,3169,275
Harvey,4622,151
Harvey,3648,91
Harvey,5695,66
Harvey,6337,285
Harvey,5381,139
Harvey,2746,192
Harvey,5224,105
Harvey,3896,98
Harvey,3381,156
Harvey,6329,261
Harvey,4252,146
Harvey,6309,151
Harvey,5774,215
Harvey,9593,237
Harvey,2629,73
Harvey,6322,124
Harvey,4804,75
Harvey,4744,41
Harvey,5660,113
Harvey,4727,115
Harvey,4571,70
Harvey,3580,38
Harvey,3033,109
Harvey,5931,139
Harvey,5517,196
Harvey,3675,39
Harvey,1963,68
Harvey,2600,67
Harvey,1242,13
Harvey,4472,119
Harvey,4750,75
Harvey,7305,136
Harvey,11071,74
Harvey,5054,136
Harvey,3062,130
Harvey,2226,76
Harvey,5325,138
Harvey,6406,181
Harvey,4476,123
Harvey,4454,75
Harvey,4243,70
Harvey,6281,169
Harvey,2897,176
Harvey,5076,102
Harvey,8262,131
Harvey,7249,173
Harvey,2770,93
Harvey,1989,21
Harvey,5398,83
Harvey,3377,55
Harvey,9917,79
Harvey,5991,96
Harvey,8398,82
Harvey,4091,73
Harvey,5151,52
Harvey,5062,80
Harvey,6011,228
Harvey,2763,24
Harvey,4107,73
Harvey,7450,29
Harvey,9370,164
Harvey,8908,368
Harvey,3854,232
Harvey,4032,146
Harvey,5138,127
Harvey,5407,89
Harvey,4570,57
Harvey,1455,54
Harvey,2466,57
Harvey,4432,120
Harvey,454,221
Harvey,2338,286
Harvey,1407,20
Harvey,3247,58
Harvey,2774,46
Harvey,7566,76
Harvey,3497,36
Harvey,6989,125
Harvey,5295,76
Harvey,5261,83
Harvey,7789,140
Harvey,3868,59
Harvey,3793,9
Harvey,6943,93
Harvey,3128,212
Harvey,2301,0
Harvey,5219,82
Harvey,7171,117
Harvey,2047,54
Harvey,3436,64
Harvey,1288,23
Harvey,2743,36
Harvey,2098,43
Harvey,3094,33
Harvey,5121,36
Harvey,4196,26
Harvey,3549,163
Harvey,4841,186
Harvey,4652,141
Harvey,5171,191
Harvey,7933,341
Harvey,6946,153
Harvey,6724,112
Harvey,2983,66
Harvey,9465,204
Harvey,5467,145
Harvey,6239,283
Harvey,11351,314
Harvey,4255,102
Harvey,2474,20
Harvey,7406,90
Harvey,6010,331
Harvey,6244,103
Harvey,7875,282
Harvey,7696,146
Harvey,2734,150
Harvey,3949,46
Harvey,9503,188
Harvey,5351,301
Harvey,6260,234
Harvey,2388,56
Harvey,4260,147
Harvey,4492,120
Harvey,5077,148
Harvey,1419,24
Harvey,1561,22
Harvey,1833,19
Harvey,2353,87
Harvey,3489,147
Harvey,5448,153
Harvey,4801,75
Harvey,1784,130
Harvey,2523,364
Harvey,5352,166
Harvey,6480,171
Harvey,3393,161
Harvey,8512,115
Harvey,6915,181
Harvey,7435,168
Harvey,9462,165
Harvey,3316,180
Harvey,3019,19
Harvey,7088,179
Harvey,4696,217
Harvey,3130,32
Harvey,2352,114
Harvey,3192,52
Harvey,1680,86
Harvey,987,25
Harvey,1241,101
Harvey,3359,85
Harvey,2328,123
Harvey,1023,31
Harvey,3874,84
Harvey,2607,43
Harvey,4835,833
Harvey,3077,260
Harvey,3268,200
Harvey,3461,130
Harvey,3428,73
Harvey,15,76
Harvey,2292,46
Harvey,5437,98
Harvey,9147,259
Harvey,4488,134
Harvey,3246,71
Harvey,7563,195
Harvey,3358,47
Harvey,5548,205
Harvey,6227,199
Harvey,5019,216
Harvey,4207,200
Harvey,3563,175
Harvey,5043,227
Harvey,7852,561
Harvey,10006,441
Harvey,4009,111
Harvey,4672,89
Harvey,4005,42
Harvey,8692,377
Harvey,3413,208
Harvey,6092,204
Harvey,7166,199
Harvey,9500,298
Harvey,3214,238
Harvey,7602,255
Harvey,7004,272
Harvey,8400,66
Harvey,5905,125
Harvey,7526,215
Harvey,21422,435
Harvey,10446,309
Harvey,9646,335
Harvey,4329,169
Harvey,20762,317
Harvey,10506,430
Harvey,8319,254
Harvey,8475,153
Harvey,6962,127
Harvey,5701,121
Harvey,2021,40
Harvey,3774,108
Harvey,5519,85
Harvey,6243,129
Harvey,5710,82
Harvey,8630,83
Harvey,6164,195
Harvey,6194,77
Harvey,3686,62
Harvey,5166,127
Harvey,7269,77
Harvey,3946,195
Harvey,5914,104
Harvey,4467,85
Harvey,2302,154
Harvey,8746,108
Harvey,2766,98
Harvey,5494,80
Harvey,2373,61
Harvey,9264,188
Harvey,5031,248
Harvey,8647,50
Harvey,7200,123
Harvey,2436,56
Harvey,2971,45
Harvey,8921,112
Harvey,4152,64
Harvey,4445,123
Harvey,4327,183
Harvey,2716,56
Harvey,8162,253
Harvey,4912,69
Harvey,4623,133
Harvey,3431,117
Harvey,2154,76
Harvey,7112,68
Harvey,4607,122
Harvey,4812,85
Harvey,908,94
Harvey,6659,128
Harvey,5474,225
Harvey,4396,191
Harvey,2724,53
Harvey,7126,189
Harvey,2967,105
Harvey,3663,13
Harvey,4317,134
Harvey,3231,246
Harvey,2734,176
Harvey,3278,132
Harvey,3597,159
Harvey,3426,131
Harvey,3895,141
Harvey,4354,167
Harvey,10395,83
Harvey,3866,235
Harvey,3435,90
Harvey,3608,103
Harvey,3821,148
Harvey,3084,182
Harvey,6392,74
Harvey,4818,173
Harvey,3311,110
Harvey,5112,206
Harvey,4521,180
Harvey,6725,184
Harvey,5450,19
Harvey,3969,54
Harvey,3825,60
Harvey,4521,35
Harvey,6886,92
Harvey,1741,63
Harvey,3686,71
Harvey,6395,41
Harvey,5917,76
Harvey,3332,43
Harvey,3749,72
Harvey,3068,23
Harvey,4013,0
Harvey,2726,52
Harvey,5681,81
Harvey,3960,84
Harvey,4449,38
Harvey,3979,94
Harvey,3675,100
Harvey,613,8
Harvey,4406,164
Harvey,4459,19
Harvey,1423,57
Harvey,5219,150
Harvey,1474,85
Harvey,4688,84
Harvey,1395,48
Harvey,2789,67
Harvey,2597,70
Harvey,1990,41
Harvey,2641,46
Harvey,4556,147
Harvey,5143,158
Harvey,7386,128
Harvey,5648,78
Harvey,3604,59
Harvey,3775,55
Harvey,2424,76
Harvey,3181,70
Harvey,1728,76
Harvey,4237,151
Harvey,4350,98
Harvey,7644,58
Harvey,2650,63
Harvey,5747,200
Harvey,3344,146
Harvey,5866,106
Harvey,7930,83
Harvey,2810,59
Harvey,3926,35
Harvey,4253,55
Harvey,5422,59
Harvey,3030,88
Harvey,3398,81
Harvey,4295,58
Harvey,2467,39
Harvey,12064,279
Harvey,4466,235
Harvey,5515,56
Harvey,9351,212
Harvey,2450,130
Harvey,11041,94
Harvey,4542,159
Harvey,2509,40
Harvey,1283,23
Harvey,2707,17
Harvey,4298,141
Harvey,1824,29
Harvey,2002,115
Harvey,4073,112
Harvey,4363,90
Harvey,4293,104
Harvey,3002,246
Harvey,7749,61
Harvey,7749,765
Harvey,1789,71
Harvey,1353,25
Harvey,4326,23
Harvey,3100,110
Harvey,2465,86
Harvey,3677,39
Harvey,1586,49
Harvey,2394,53
Harvey,3409,88
Harvey,5287,76
Harvey,4510,128
Harvey,3781,96
Harvey,5817,98
Harvey,7237,71
Harvey,3143,100
Harvey,7644,54
Harvey,4589,84
Harvey,6824,75
Harvey,3768,61
Harvey,2308,64
Harvey,8321,72
Harvey,11974,174
Harvey,6375,87
Harvey,9778,224
Harvey,2540,48
Harvey,7134,163
Harvey,2920,275
Harvey,3108,113
Harvey,4400,92
Harvey,4124,110
Harvey,2577,106
Harvey,4438,37
Harvey,5399,139
Harvey,6263,206
Harvey,4727,135
Harvey,4627,125
Harvey,8742,206
Harvey,7500,157
Harvey,4994,196
Harvey,7217,217
Harvey,6068,97
Harvey,2651,51
Harvey,8374,177
Harvey,9985,140
Harvey,5755,311
Harvey,4623,279
Harvey,1623,35
Harvey,3531,74
Harvey,8616,120
Harvey,7506,133
Harvey,3831,65
Harvey,6037,174
Harvey,5372,106
Harvey,5335,123
Harvey,4536,206
Harvey,2728,167
Harvey,3260,66
Harvey,5943,184
Harvey,7450,211
Harvey,10199,349
Harvey,2281,8
Harvey,5007,247
Harvey,2149,111
Harvey,2197,208
Harvey,8010,422
Harvey,7778,229
Harvey,1337,46
Harvey,4129,0
Harvey,4750,78
Harvey,4253,94
Harvey,5158,0
Harvey,3859,142
Harvey,6326,207
Harvey,5928,232
Harvey,6725,169
Harvey,5029,140
Harvey,873,143
Harvey,6710,156
Harvey,3611,190
Harvey,2392,31
Harvey,5132,24
Harvey,1935,35
Harvey,2499,46
Harvey,2935,44
Harvey,2902,49
Harvey,1360,11
Harvey,4163,104
Harvey,1860,23
Harvey,3659,93
Harvey,2094,183
Harvey,5105,148
Harvey,3937,105
Harvey,5777,121
Harvey,11993,272
Harvey,4628,10
Harvey,1940,144
Harvey,4066,34
Harvey,3839,165
Harvey,3199,111
Harvey,4906,149
Harvey,4345,107
Harvey,2240,47
Harvey,1930,122
Harvey,6850,77
Harvey,2055,115
Harvey,4576,182
Harvey,2447,185
Harvey,6536,215
Harvey,5474,198
Harvey,2583,160
Harvey,2492,65
Harvey,6553,189
Harvey,1410,63
Harvey,8484,306
Harvey,7565,156
Harvey,4615,325
Harvey,6966,484
Harvey,4275,485
Harvey,4451,193
Harvey,7619,142
Harvey,5645,149
Harvey,4203,277
Harvey,7314,360
Harvey,4183,327
Harvey,4750,267
Harvey,10962,179
Harvey,7280,234
Harvey,12817,116
Harvey,7929,261
Harvey,7564,311
Harvey,9393,265
Harvey,11883,633
Harvey,72041,1738
Harvey,17783,1159
Harvey,8960,401
Harvey,12026,175
Harvey,13281,482
Harvey,23361,507
Harvey,3737,429
Harvey,2110,74
Harvey,4984,84
Harvey,5060,157
Harvey,3428,2
Harvey,3051,76
Harvey,1926,70
Harvey,1772,27
Harvey,1034,63
Harvey,2419,211
Harvey,4236,40
Harvey,1339,92
Harvey,8109,251
Harvey,2583,72
Harvey,3324,155
Harvey,7126,220
Harvey,2549,150
Harvey,3586,80
Harvey,4419,89
Harvey,4945,152
Harvey,10980,225
Harvey,2941,51
Harvey,5857,156
Harvey,4390,98
Harvey,3364,96
Harvey,4557,114
Harvey,4606,140
Harvey,7250,197
Harvey,2203,83
Harvey,7466,128
Harvey,2459,140
Harvey,13628,214
Harvey,4157,140
Harvey,5401,272
Harvey,4476,263
Harvey,5597,178
Harvey,7057,395
Harvey,10209,282
Harvey,9431,138
Harvey,2338,76
Harvey,6478,96
Harvey,5790,233
Harvey,2334,79
Harvey,5631,157
Harvey,4943,147
Harvey,5244,314
Harvey,5384,58
Harvey,5090,215
Harvey,3022,92
Harvey,3721,151
Harvey,6686,348
Harvey,3500,142
Harvey,2115,158
Harvey,5199,140
Harvey,5065,83
Harvey,3408,133
