intensity_bin,alpha1_km,std_err,p,n
No TS winds (<34kt),-0.17079521667936792,0.16786773940091007,0.3089445470488269,60
Tropical-storm (34–49kt),-0.7484332857091158,0.270789866168666,0.005711686654225103,60
Gale-force (50–63kt),-0.7705404018295426,0.36444774129887164,0.0344923359078196,60
Hurricane-force (>=64kt),-1.0386582579863928,0.36287093635566686,0.004205318795962762,60
