term,coef,std_err,z,p,ci_low,ci_high
Post,-0.11618287204715255,0.1983780359613507,-0.585663989887409,0.5581013375783923,-0.5049966778551915,0.2726309337608865
Post $\times$ k (intensity rank),-0.35210485688553783,0.14242541945537532,-2.472205159949409,0.013428242906173437,-0.6312535495010838,-0.07295616426999191
Low income,0.19376370812683152,0.16469281031161045,1.176515888946317,0.23938878691703236,-0.12902826859661182,0.5165556848502748
Post $\times$ low income,-0.22595765622864494,0.26281384860073814,-0.8597631267594105,0.38991962897763144,-0.7410633341244541,0.28914802166716425
Low income $\times$ k,-0.09993175824012095,0.1445526488229749,-0.6913173785040874,0.48936611298940325,-0.38324974380301796,0.18338622732277604
Post $\times$ low income $\times$ k,0.11625451437929965,0.19059857138261618,0.6099443114183951,0.5418986979440655,-0.2573118210354147,0.48982084979401397
