outcome,storm,n,r2_income_only,r2_ec_only,r2_income_plus_ec,delta_r2_ec,adj_r2_joint
% Abandoned,Harvey,117,0.4006757594936493,0.3081714040145147,0.41438974545240936,0.013713985958760055,0.4041158813375393
% Abandoned,Irma,110,0.16491385508460632,0.25454868390846674,0.2729728604754488,0.10805900539084246,0.2593835681478871
% Abandoned,Michael,19,0.6158900603637221,0.7318252850144438,0.734266253111709,0.11837619274798694,0.7010495347506727
% Rebuilt,Harvey,117,0.4852701822783305,0.32422988915758433,0.48955568594772136,0.004285503669390844,0.48060052254329544
% Rebuilt,Irma,110,0.3597283609091634,0.37248865035886725,0.46144965270687854,0.10172129179771516,0.45138329107523145
% Rebuilt,Michael,19,0.10365835195210771,0.1643270842586766,0.19216268471011222,0.08850433275800451,0.09118302029887626
