outcome,storm,n,predictor,coef,ci_low,ci_high,p,significance
% Abandoned,Harvey,117,Median income,-0.3330144814754134,-0.4397182140559165,-0.22631074889491032,9.541135651200142e-10,***
% Abandoned,Harvey,117,Econ. connectedness (resid),-0.11080781655775968,-0.2663278020366968,0.044712168921177464,0.16257235923940572,
% Abandoned,Irma,110,Median income,-0.20429376677278432,-0.3122579470866122,-0.09632958645895645,0.00020831335501351236,***
% Abandoned,Irma,110,Econ. connectedness (resid),-0.15543997660601971,-0.267655197903791,-0.043224755308248416,0.0066289271836837155,***
% Abandoned,Michael,19,Median income,-0.37018325034039884,-0.5261686716685583,-0.2141978290122394,3.297378363646139e-06,***
% Abandoned,Michael,19,Econ. connectedness (resid),-0.36425930136495654,-0.7491910650774429,0.020672462347529896,0.06363827347432055,*
% Rebuilt,Harvey,117,Median income,0.4732773619861631,0.3428139296621532,0.603740794310173,1.1596834628318949e-12,***
% Rebuilt,Harvey,117,Econ. connectedness (resid),0.0985877747464128,-0.16729756807252544,0.364473117565351,0.46738760959860204,
% Rebuilt,Irma,110,Median income,0.35846104660047057,0.2902728702545149,0.4266492229464262,6.800690882634211e-25,***
% Rebuilt,Irma,110,Econ. connectedness (resid),0.2190856056809437,0.1271703220804277,0.31100088928145975,2.9872865163989114e-06,***
% Rebuilt,Michael,19,Median income,-0.120247874339665,-0.5693779376438171,0.328882188964487,0.5997562165562009,
% Rebuilt,Michael,19,Econ. connectedness (resid),0.45415026088361876,-0.14450228101275797,1.0528028027799956,0.13704930351058017,
